MaxDiff, Percentage
0.46499999999999997, 70.45%
0.46599999999999997, 70.45%
0.46699999999999997, 70.45%
0.46799999999999997, 70.45%
0.469, 70.45%
0.47, 70.3%
0.471, 70.13%
0.472, 70.13%
0.473, 70.13%
0.474, 70.13%
0.475, 69.96%
0.476, 69.96%
0.477, 69.96%
0.478, 69.96%
0.479, 69.96%
0.48, 69.96%
0.481, 69.96%
0.482, 69.79%
0.483, 69.79%
0.484, 69.79%
0.485, 69.79%
0.486, 69.63%
0.487, 69.63%
0.488, 69.63%
0.489, 69.76%
0.49, 69.93%
0.491, 69.93%
0.492, 69.93%
0.493, 69.93%
0.494, 69.93%
0.495, 69.93%
0.496, 69.93%
0.497, 69.85%
0.498, 69.85%
0.499, 69.85%
0.5, 69.85%
0.501, 69.85%
0.502, 69.85%
0.503, 69.85%
0.504, 69.85%
0.505, 69.85%
0.506, 69.85%
0.507, 70.01%
0.508, 70.01%
0.509, 70.01%
0.51, 70.01%
0.511, 70.01%
0.512, 70.01%
0.513, 70.01%
0.514, 70.01%
0.515, 70.01%
0.516, 70.01%
0.517, 70.01%
0.518, 70.01%
0.519, 70.01%
0.52, 70.01%
0.521, 70.01%
0.522, 70.01%
0.523, 70.01%
0.524, 70.01%
0.525, 70.01%
0.526, 70.01%
0.527, 70.01%
0.528, 69.56%
0.529, 69.56%
0.53, 69.56%
0.531, 69.56%
0.532, 69.56%
0.533, 69.56%
0.534, 69.56%
0.535, 69.4%
0.536, 69.4%
0.537, 69.4%
0.538, 69.4%
0.539, 69.4%
0.54, 68.65%
0.541, 68.65%
0.542, 68.65%
0.543, 68.65%
0.544, 68.65%
0.545, 68.65%
0.546, 68.65%
0.547, 68.65%
0.548, 68.65%
0.549, 68.65%
0.55, 68.65%
0.551, 68.65%
0.552, 68.65%
0.553, 68.65%
0.554, 68.65%
0.555, 68.65%
0.556, 68.65%
0.557, 68.65%
0.558, 68.65%
0.559, 68.65%
0.56, 68.65%
0.561, 68.82%
0.562, 68.82%
0.5630000000000001, 68.82%
0.5640000000000001, 68.82%
0.5650000000000001, 68.82%
0.5660000000000001, 68.82%
0.5670000000000001, 68.82%
0.5680000000000001, 68.82%
0.569, 68.82%
0.57, 68.82%
0.571, 68.82%
0.572, 68.82%
0.573, 68.82%
0.574, 68.82%
0.575, 68.82%
0.576, 68.82%
0.577, 68.82%
0.578, 68.82%
0.579, 68.82%
0.58, 68.82%
0.581, 68.82%
0.582, 68.82%
0.583, 68.82%
0.584, 68.82%
0.585, 68.82%
0.586, 68.99%
0.587, 68.99%
0.588, 68.99%
0.589, 68.99%
0.59, 68.99%
0.591, 68.99%
0.592, 68.99%
0.593, 68.99%
0.594, 68.99%
0.595, 68.99%
0.596, 68.99%
0.597, 68.82%
0.598, 68.31%
0.599, 68.31%
0.6, 68.31%
0.601, 68.31%
0.602, 68.31%
0.603, 68.31%
0.604, 68.31%
0.605, 68.31%
0.606, 68.31%
0.607, 68.31%
0.608, 68.31%
0.609, 68.31%
0.61, 68.31%
0.611, 68.31%
0.612, 68.31%
0.613, 68.31%
0.614, 68.31%
0.615, 68.31%
0.616, 68.31%
0.617, 68.31%
0.618, 68.31%
0.619, 68.31%
0.62, 68.31%
0.621, 68.31%
0.622, 68.31%
0.623, 68.31%
0.624, 68.31%
0.625, 68.31%
0.626, 68.31%
0.627, 68.31%
0.628, 68.31%
0.629, 68.31%
0.63, 68.14%
0.631, 68.14%
0.632, 68.14%
0.633, 68.14%
0.634, 68.14%
0.635, 68.14%
0.636, 68.14%
0.637, 68.14%
0.638, 68.14%
0.639, 68.14%
0.64, 68.14%
0.641, 68.14%
0.642, 68.14%
0.643, 68.14%
0.644, 68.14%
0.645, 68.14%
0.646, 68.14%
0.647, 68.14%
0.648, 68.14%
0.649, 68.14%
0.65, 68.14%
0.651, 68.14%
0.652, 68.14%
0.653, 68.14%
0.654, 68.14%
0.655, 68.14%
0.656, 68.14%
0.657, 68.14%
0.658, 68.14%
0.659, 68.14%
0.66, 68.14%
0.661, 68.14%
0.662, 68.14%
0.6629999999999999, 68.14%
0.6639999999999999, 68.14%
0.6649999999999999, 68.14%
0.6659999999999999, 68.14%
0.6669999999999999, 68.14%
0.6679999999999999, 68.14%
0.6689999999999999, 68.14%
0.6699999999999999, 68.14%
0.6709999999999999, 68.14%
0.6719999999999999, 68.14%
0.6729999999999999, 68.14%
0.6739999999999999, 67.8%
0.6749999999999999, 67.8%
0.6759999999999999, 67.8%
0.6769999999999999, 67.8%
0.6779999999999999, 67.8%
0.6789999999999999, 67.8%
0.6799999999999999, 67.8%
0.6809999999999999, 67.8%
0.6819999999999999, 67.8%
0.6829999999999999, 67.8%
0.6839999999999999, 67.8%
0.6849999999999999, 67.8%
0.6859999999999999, 67.8%
0.6869999999999999, 67.8%
0.688, 67.8%
0.689, 67.8%
0.69, 67.8%
0.691, 67.8%
0.692, 67.8%
0.693, 67.8%
0.694, 67.8%
0.695, 67.8%
0.696, 67.8%
0.697, 67.8%
0.698, 67.8%
0.699, 67.8%
0.7, 67.8%
0.701, 67.8%
0.702, 67.8%
0.703, 67.8%
0.704, 67.8%
0.705, 67.8%
0.706, 67.8%
0.707, 67.8%
0.708, 67.8%
0.709, 67.8%
0.71, 67.8%
0.711, 67.8%
0.712, 67.8%
0.713, 67.8%
0.714, 67.8%
0.715, 67.8%
0.716, 67.8%
0.717, 67.8%
0.718, 67.8%
0.719, 67.8%
0.72, 67.8%
0.721, 67.8%
0.722, 67.8%
0.723, 67.8%
0.724, 67.8%
0.725, 67.8%
0.726, 67.8%
0.727, 67.8%
0.728, 67.8%
0.729, 67.8%
0.73, 67.8%
0.731, 67.8%
0.732, 67.8%
0.733, 67.8%
0.734, 67.8%
0.735, 67.8%
0.736, 67.8%
0.737, 67.8%
0.738, 67.8%
0.739, 67.8%
0.74, 67.8%
0.741, 67.8%
0.742, 67.8%
0.743, 67.8%
0.744, 67.8%
0.745, 67.8%
0.746, 67.8%
0.747, 67.8%
0.748, 67.8%
0.749, 67.8%
0.75, 67.8%
0.751, 67.8%
0.752, 67.8%
0.753, 67.8%
0.754, 67.8%
0.755, 67.8%
0.756, 67.8%
0.757, 67.8%
0.758, 67.8%
0.759, 67.8%
0.76, 67.8%
0.761, 67.8%
0.762, 67.8%
0.763, 67.8%
0.764, 67.8%
0.765, 67.8%
0.766, 67.8%
0.767, 67.8%
0.768, 67.8%
0.769, 67.8%
0.77, 67.8%
0.771, 67.8%
0.772, 67.8%
0.773, 67.8%
0.774, 67.8%
0.775, 67.8%
0.776, 67.8%
0.777, 67.8%
0.778, 67.8%
0.779, 67.8%
0.78, 67.8%
0.781, 67.8%
0.782, 67.8%
0.783, 67.8%
0.784, 67.8%
0.785, 67.8%
0.786, 67.8%
0.787, 67.8%
0.7879999999999999, 67.8%
0.7889999999999999, 67.8%
0.7899999999999999, 67.8%
0.7909999999999999, 67.8%
0.7919999999999999, 67.8%
0.7929999999999999, 67.8%
0.7939999999999999, 67.8%
0.7949999999999999, 67.8%
0.7959999999999999, 67.8%
0.7969999999999999, 67.8%
0.7979999999999999, 67.8%
0.7989999999999999, 67.8%
0.7999999999999999, 67.8%
0.8009999999999999, 67.8%
0.8019999999999999, 67.8%
